postal_code,kode_wilayah_concat,kode_provinsi,kode_kota_kabupaten,kode_kecamatan,kode_kelurahan
42277,3601072009,36,1,7,2009
42183,3673031013,36,73,3,1013
15551,3603332006,36,3,33,2006
42287,3601272006,36,1,27,2006
15810,3603172002,36,3,17,2002
42275,3601112009,36,1,11,2009
15531,3603082001,36,3,8,2001
42391,3602012009,36,2,1,2009
42394,3602192019,36,2,19,2019
15145,3671111003,36,71,11,1003
42266,3601242018,36,1,24,2018
43367,3202062011,32,2,6,2011
42412,3672051004,36,72,5,1004
42361,3602112003,36,2,11,2003
42357,3602182010,36,2,18,2010
42267,3601292007,36,1,29,2007
15540,3603112005,36,3,11,2005
42175,3604232003,36,4,23,2003
15520,3603162002,36,3,16,2002
42364,3602052019,36,2,5,2019
15540,3603112009,36,3,11,2009
15411,3674041003,36,74,4,1003
42372,3602042013,36,2,4,2013
42357,3602182009,36,2,18,2009
15620,3603322006,36,3,32,2006
15138,3671091005,36,71,9,1005
42454,3604072011,36,4,7,2011
42285,3601032001,36,1,3,2001
42182,3604092002,36,4,9,2002
42276,3601312002,36,1,31,2002
42312,3602242001,36,2,24,2001
42371,3602122015,36,2,12,2015
15720,3603042003,36,3,4,2003
42165,3604322006,36,4,32,2006
42275,3601112005,36,1,11,2005
15155,3671131007,36,71,13,1007
42265,3601092003,36,1,9,2003
42455,3604082002,36,4,8,2002
15157,3671121002,36,71,12,1002
42351,3602252006,36,2,25,2006
42392,3602262006,36,2,26,2006
15611,3603022005,36,3,2,2005
15141,3671051008,36,71,5,1008
42262,3601132002,36,1,13,2002
42354,3602082006,36,2,8,2006
42271,3601262008,36,1,26,2008
42184,3604112014,36,4,11,2014
42162,3673061010,36,73,6,1010
42163,3604282007,36,4,28,2007
42273,3601232009,36,1,23,2009
15124,3671041005,36,71,4,1005
15531,3603082010,36,3,8,2010
42390,3602022014,36,2,2,2014
42396,3602212009,36,2,21,2009
42182,3604092006,36,4,9,2006
42278,3601142001,36,1,14,2001
42279,3601302003,36,1,30,2003
42283,3601012004,36,1,1,2004
15112,3671071012,36,71,7,1012
15321,3674011004,36,74,1,1004
42372,3602042009,36,2,4,2009
15228,3674031009,36,74,3,1009
42171,3673041006,36,73,4,1006
42312,3602142009,36,2,14,2009
42281,3601062011,36,1,6,2011
15620,3603322004,36,3,32,2004
42372,3602042007,36,2,4,2007
42423,3672011001,36,72,1,1001
42391,3602012002,36,2,1,2002
42285,3601032011,36,1,3,2011
42186,3604152005,36,4,15,2005
42286,3601042006,36,1,4,2006
42195,3604172002,36,4,17,2002
15721,3603032013,36,3,3,2013
42319,3602142023,36,2,14,2023
42397,3602162004,36,2,16,2004
15721,3603031007,36,3,3,1007
42352,3602152012,36,2,15,2012
42166,3604302006,36,4,30,2006
42371,3602122008,36,2,12,2008
42398,3602202002,36,2,20,2002
42261,3601172003,36,1,17,2003
42194,3604142009,36,4,14,2009
42364,3602052007,36,2,5,2007
42196,3604182002,36,4,18,2002
42193,3604132014,36,4,13,2014
42357,3602182003,36,2,18,2003
15720,3603042007,36,3,4,2007
42286,3601042007,36,1,4,2007
42182,3604092012,36,4,9,2012
15570,3603152013,36,3,15,2013
